Accesibilidad,Opciones de servicio,Qué ofrece,Opciones del local,Servicios,Ambiente,Público usual,Planificación,Pagos,Menores,Estacionamiento,Nombre,Latitud,Longitud
Espacio accesible para personas en silla de ruedas,"Entrega a domicilio, Para llevar, Consumo en el lugar","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas durante la madrugada, Vino","Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar","Agradable, Informal",Grupos,Se aceptan reservas,Tarjetas de crédito,"Ideal para ir con niños, Menú para niños, Sillas altas","Estacionamiento gratuito, Estacionamiento pagado en la calle",La Vecindad de los Cuates,-0.2085975,-78.4906166
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Bucle magnético de asistencia, Estacionamiento accesible para personas en silla de ruedas","Asientos al aire libre, Entrega sin contacto, Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Deportes","Alcohol, Aperitivos, Bebidas en hora feliz, Bebidas fuertes, Café, Cerveza, Cócteles, Comedor privado, Platos vegetarianos, Vino","Almuerzo, Cena, Servicio de catering, Postres, Espacio con asientos","Sanitario, Sanitarios unisex, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Amigable con LGBTQ+, Grupos, Recomendable para ir en familia",Se aceptan reservas,"Cheques, Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Menú para niños","Estacionamiento gratuito en la calle, Estacionamiento pagado en la calle, Mascotas, Se admiten perros en el interior, Se permiten perros, Se permiten perros afuera",La Concha de la Lora,-0.2085975,-78.4906166
Espacio accesible para personas en silla de ruedas,"Entrega a domicilio, Para llevar, Consumo en el lugar","Alcohol, Aperitivos, Café, Cerveza","Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar","Agradable, Informal",Grupos,Se aceptan reservas,Tarjetas de crédito,"Ideal para ir con niños, Sillas altas","Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle",El Pescador Restaurant,-0.2085975,-78.4906166
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Información proporcionada por la empresa, Se identifica como mujer empresaria","Asientos al aire libre, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Chimenea","Alcohol, Aperitivos, Barra de ensaladas, Café, Cerveza, Cócteles, Comidas durante la madrugada, Opciones veganas, Platos orgánicos, Platos vegetarianos, Vino","Desayunos, Desayuno-almuerzo, Almuerzo, Cena, Servicio de catering, Postres, Espacio con asientos","Sanitario, Sanitarios unisex, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Amigable con LGBTQ+, Espacio seguro para personas transgénero, Grupos, Recomendable para ir en familia",Se aceptan reservas,"Cheques, Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",Ideal para ir con niños,"Estacionamiento gratuito, Estacionamiento gratuito en la calle",Casa Warmi,-0.2108698,-78.4921199
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Asientos al aire libre, Consumo en el lugar","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas durante la madrugada, Vino","Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal",Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,Estacionamiento gratuito en la calle,URKO,-0.2108698,-78.4921199
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Información proporcionada por la empresa, Se identifica como mujer empresaria","Asientos al aire libre, Retiros en la puerta, Entrega sin contacto, Entrega a domicilio, Pedidos desde el automóvil, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Buenos cócteles, Chimenea, Deportes, Música en vivo","Alcohol, Aperitivos, Barra de ensaladas, Bebidas en hora feliz, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas en hora feliz, Opciones veganas, Platos vegetarianos, Vino","Desayuno-almuerzo, Almuerzo, Cena, Servicio de catering, Servicio en el mostrador, Postres, Espacio con asientos","Sanitario, Sanitarios unisex, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis",Agradable,"Grupos, Recomendable para ir en familia",Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Menú para niños, Sillas altas","Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle, Mascotas, Se admiten perros en el interior, Se permiten perros, Se permiten perros afuera",EL PULPO RESTAURANTE GOURMET,-0.2108698,-78.4921199
N/A,"Entrega a domicilio, Para llevar, Consumo en el lugar","Aperitivos, Café","Desayunos, Desayuno-almuerzo, Almuerzo",Sanitario,"Agradable, Informal",Grupos,Se aceptan reservas,N/A,Ideal para ir con niños,N/A,Restaurante Floresta Brava,-0.2108698,-78.4921199
N/A,"Para llevar, Consumo en el lugar, Aspectos destacados, Buenos cócteles","Alcohol, Aperitivos, Café, Cerveza, Cócteles, Vino","Almuerzo, Cena, Postres",Sanitario,"Agradable, Informal",Grupos,Se aceptan reservas,N/A,Ideal para ir con niños,N/A,1037 Restaurante,-0.2098078,-78.494704
N/A,"Retiros en la puerta, Entrega sin contacto, Entrega a domicilio, Para llevar, Consumo en el lugar",Aperitivos,"Desayuno-almuerzo, Almuerzo, Cena",Sanitario,Agradable,Grupos,Se aceptan reservas,N/A,Ideal para ir con niños,N/A,Restaurante Muphys,-0.2098078,-78.494704
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas","Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Buenos cócteles","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Vino","Almuerzo, Cena, Postres","Sanitario, Tiene bar",Agradable,Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,"Hay suficiente espacio, Estacionamiento gratuito",Enciende Tus Sentidos,-0.2091801,-78.4936144
